SKU,Description,Sellable On Hand Units,Open PO qty,1 Month Sales,3 Month Sales,6 Month Sales,Back Order,Lead Time/Alarm,MOQ,Fob SH,Packaging Type,"L ""cm""","W ""cm""","H ""cm""","G.W.""kg""","N.W. ""kg""",Carton Qty,"Pallet Size ""cm""",Pallet Ctns,Pallet Qty,"Pallet Weight ""kg"""
53247,XEM,7406,2326,7517,1634,2912,8951,1924,6431,0.0,individual,5820,1396,857,3581,1018,610,991-98-1850,7980,6056,2824
96489,Namecoin,5827,149,352,4194,1146,489,5560,3010,-9.822780068291,join,9464,715,5209,4024,29,1290,963-85-2170,4571,883,745
67088,TRON,7829,7296,8886,640,1363,1190,220,7381,41567939.387252,position,2247,566,6388,2750,3125,414,908-75-8939,5861,6535,3696
93095,Zclassic,2215,9975,1993,6491,2838,9996,7905,9196,-414444119.33704,level,9017,1940,9310,1898,2880,9263,934-77-1261,3884,9806,2027
52602,Gridcoin,3896,9206,9812,9545,1403,2159,8812,2653,-8709791.3575,court,1416,7029,7136,7065,6555,874,974-86-5779,1277,8967,7132
06869,Cardano,6941,9816,1418,7675,8251,3761,348,2779,844.90764,guess,3408,1531,7833,9169,7727,8000,970-71-1359,6748,5619,1519
39459,DigitalNote,4998,1915,4160,4364,8789,5932,8487,2979,5537726.0,Mrs,9018,9651,6006,5043,447,7344,970-88-7834,5891,1122,2753
92708,Omni,4920,7195,4787,2156,629,7388,2266,3850,-85204.3654897692,bad,2448,7287,5997,5584,8465,1730,967-74-1952,4752,5761,9410
66948,Ethereum Classic,7738,1356,225,7618,5960,3724,6593,2228,11.6176430273805,often,1533,9861,3590,3088,4718,9403,909-91-0914,6262,1398,8365
44586,Zclassic,9797,3293,2002,8339,2593,6702,8753,4449,2.0,measure,7779,7061,6051,5036,7567,8705,940-72-1982,1104,3268,5103
61523,DigitalNote,5682,4258,1288,4230,2782,3014,2172,5693,70534853269250.0,fall,7949,3412,2542,26,8052,1960,974-94-1496,4971,5139,1695
22649,Bytecoin,5566,6072,5167,4292,2652,6872,6064,887,2055.16160024,nature,279,9889,6081,6936,3754,2580,924-86-7223,1697,1584,6099
75856,Dogecoin,3987,9279,9272,906,7058,5298,1816,7541,63964741102291.0,center,7499,7495,6916,8506,4500,9601,990-84-2899,6706,5594,1814
06352,AMP,3337,9870,6265,7482,9624,5472,6200,736,-1518449507515.5,stock,1461,6960,6492,526,8088,2043,969-99-5115,1158,771,9178
39142,Burstcoin,5750,8816,290,1205,9921,5136,3254,1665,-424.19,tree,111,9146,2346,5815,96,3582,997-95-7089,7653,8612,8360
75541,Tether,8479,6497,246,7280,5096,7102,9881,2572,870885982134.1,score,3583,4845,6674,7575,1287,7487,930-71-7917,3224,5629,7756
15919,TRON,66,7920,5392,8660,34,1876,5125,8390,-271532040.44425,certain,2121,3388,6256,7274,8076,9496,905-97-4924,7580,9234,5559
80243,Cardano,5481,7059,7249,7883,2537,5500,1557,6166,30676809419.53,Democrat,1817,642,2298,8161,1692,8068,942-75-9099,5473,7737,7407
64987,Ripple,4492,3414,5492,7822,1227,9951,7249,82,-252572.2344,history,8529,9038,4436,6417,4964,7941,958-83-2990,6635,7769,774
76409,Bytecoin,6931,3509,6152,8421,8854,3202,1959,7659,50.236149328,material,9605,6765,9311,3346,2629,8444,914-83-3155,539,5254,1429
60384,SwiftCoin,3199,1520,4536,6999,358,6586,2899,274,9.888,than,1290,2389,7906,31,1352,9499,903-96-3186,2315,8266,9106
46863,Bitcoin Cash,3938,600,562,389,4801,2613,1046,3398,6865009.95,purpose,6968,3073,2322,270,9039,1268,969-92-3350,1801,9361,3514
20062,XEM,257,1078,7811,4497,9780,8280,610,9745,-69611475135593.5,property,4816,7610,7890,8837,5435,8985,983-91-5253,564,9788,5984
38977,Cardano,5147,7740,9628,4652,3961,7977,1577,3555,-8422234777211.0,character,3775,800,4613,5869,8591,4533,927-98-2920,6147,52,914
22689,Bitcoin Cash,3828,3548,9523,3164,7379,5985,3357,5742,-3359.808532168,everybody,899,1126,5628,6156,9612,8446,910-72-4841,4054,561,6422
29612,Auroracoin,353,4993,3448,7980,8106,8392,2046,6147,-3654.0,movie,6980,1997,2431,3350,6889,1608,960-72-1049,9480,812,4122
83513,Ethereum Classic,5696,6640,710,7566,9840,1646,1449,9789,477310462.0,range,1943,4498,3969,957,5882,3865,998-81-6416,3552,7259,9241
81676,Peercoin,7672,525,6461,197,8571,2163,3822,3663,45212914725.0,type,2481,5871,282,9931,6292,3753,911-96-1838,211,2391,2126
78105,DigitalNote,5500,3860,9196,8756,214,4084,148,7216,141643878445.34,fund,3421,8416,4381,8970,1739,7222,966-76-1863,6895,6838,541
87300,PotCoin,5339,1973,4973,8411,1022,2287,5651,4616,-4191073791071.0,where,6324,7950,4325,2854,8559,1158,912-71-9375,1488,5517,1366
72288,Titcoin,5374,8599,8942,6903,8477,1851,6520,6901,-44704650911.785,change,5124,4257,3279,4945,9024,9974,988-80-4650,1591,2485,3118
53965,Coinye,5136,86,8682,9190,4490,7658,5875,7721,-71042158827.19,despite,4876,9149,9445,8870,8871,9117,994-75-8949,1162,6436,3047
43449,Dogecoin,5239,4183,2021,323,9065,3339,3860,341,-818311964236373.0,nearly,1732,6532,1519,774,9967,6269,929-95-6278,8544,690,7754
80520,Gridcoin,6693,4272,6294,7707,2195,928,4853,8553,5463777563364.0,career,5849,6249,4468,1661,4136,8310,984-95-4454,8768,2712,3876
46683,Burstcoin,9033,6710,9756,1553,7195,7869,8807,8650,3441.28143,discover,8372,3025,4705,945,4038,1007,970-80-2899,9292,1042,8488
86126,Ethereum,4093,3594,6737,595,5777,9055,9976,4145,-76848666.0,quite,7252,5178,637,930,8789,285,936-79-6111,5698,6965,3450
84578,TRON,9670,1099,6808,9174,6669,1258,4437,7224,-3518733721662.0,leg,9614,9244,6580,1999,7233,7580,986-85-5827,2824,4442,586
38813,PotCoin,9241,1441,4109,7400,2244,2024,5561,1143,78002566523.141,collection,3453,9832,5617,4441,2770,755,944-81-6370,2282,6,364
61525,Emercoin,9627,4071,3545,4607,2403,9236,3199,4101,-3351765.9980059,yeah,7753,7133,2945,4929,697,8097,949-84-6896,434,1930,4404
48343,Dogecoin,1526,2262,3921,219,1870,439,1949,8926,298334031413.0,center,3967,9199,4539,1555,9807,2909,901-74-7441,2780,5511,4332
30580,EOS.IO,7616,1343,6291,3794,9032,6265,820,7794,-605424384.7,traditional,5092,7721,4586,6379,927,8417,900-83-2945,288,7707,123
27149,PotCoin,1430,2297,2218,9494,4573,9890,7327,6330,-508845209280.64,player,4198,3212,9848,8168,3241,6378,900-91-4014,5168,3765,6415
22008,Nxt,9475,4295,1296,4401,3670,1933,3982,6631,7611097.5601171,list,5437,2986,8968,7670,7212,5866,962-94-5448,503,3071,6692
84380,Sirin Labs,5515,4605,1118,1704,6028,3446,307,456,56395582.12392,attention,371,8807,4984,7215,1639,8406,993-73-2295,4336,948,503
21669,Feathercoin,4724,4795,4623,6082,3125,5056,2516,9845,5483683604203.95,agreement,7573,371,8724,241,5705,2714,983-88-0666,8530,4690,495
34550,Ethereum Classic,7190,6085,3377,4657,6244,9917,687,5082,6180.4,city,1370,7859,9110,8525,5283,1045,945-97-0209,3670,4925,6614
61743,Burstcoin,4589,3995,3298,3479,832,2891,5867,6063,429156749270045.0,property,7947,586,5103,2981,7430,7239,929-95-4987,1620,2313,2692
22104,Bytecoin,6777,1091,6986,8483,9180,8402,3221,9146,36407779665081.1,piece,663,8095,8017,1283,6792,6613,948-87-1763,7217,4023,4584
94645,Waves Platform,9068,8382,7700,1665,775,2572,8003,9908,6.722815913,black,7773,5228,4380,7998,5916,2459,988-80-3667,694,8451,2597
73756,Nxt,1610,3017,2567,7432,296,2073,8710,5622,26239742013566.3,play,1949,6813,9370,6316,3591,8869,908-97-2972,9120,7321,3235
29110,Sirin Labs,4888,6356,3971,4093,5478,4376,7857,605,-873448982522.3,he,8959,8887,4222,6620,654,8479,915-85-6631,2404,1388,6191
36879,MazaCoin,2159,6834,2837,6447,2182,4163,3828,3312,6985953.0,sister,1154,5544,9015,4404,5969,8722,922-86-9553,4453,8712,4101
85942,Dogecoin,8921,8086,3611,7952,2423,5113,8157,2299,-21.1192819,special,2705,2418,9340,616,488,5965,927-72-5549,719,4505,3089
35557,Namecoin,8048,9254,4361,4979,2821,1212,5167,2654,202132.7411,data,7100,5164,2519,4545,6472,5824,926-75-6021,2228,2148,4509
23676,SwiftCoin,6125,1829,9625,4410,7461,8208,9955,1758,-5212.256247173,arm,3328,5312,4739,7007,2740,6267,912-74-1349,9028,1067,9669
88050,Bitcoin,7449,5934,9389,3122,2431,861,4611,6539,48.55,stage,6708,772,1609,1718,3817,6037,983-71-0232,5724,3849,1114
22748,DigitalNote,9004,9596,2555,7537,1702,8911,2237,2196,1964.351,send,8329,8856,8442,1647,2057,8697,960-86-4359,1408,3002,4963
55997,Bitcoin,4256,2431,6894,8234,3605,5705,5059,4333,2.32,admit,2865,7712,5961,9636,4407,683,903-75-8218,3310,7553,2736
18619,NEO,2023,5145,5584,9077,3114,4467,97,7750,1063129664327.0,easy,9722,5444,152,6431,3477,1914,940-76-9569,3265,1508,6445
66463,Namecoin,2945,6179,1165,3714,7163,766,1269,9684,455400527525.58,increase,1060,5917,7773,7545,3363,4145,965-96-2457,3215,5487,5307
22039,Primecoin,8398,7604,1237,2060,7851,1081,3143,445,62621.70107,them,402,9172,6148,9113,6006,7424,954-84-2079,454,8190,8576
96554,Litecoin,2464,6166,250,9025,775,1811,8879,8772,449245.3,news,378,6814,68,611,3910,7094,988-87-9952,1659,8712,6156
