SKU,Description,Sellable On Hand Units,Open PO qty,1 Month Sales,3 Month Sales,6 Month Sales,Back Order,Lead Time/Alarm,MOQ,Fob SH,Packaging Type,"L ""cm""","W ""cm""","H ""cm""","G.W.""kg""","N.W. ""kg""",Carton Qty,"Pallet Size ""cm""",Pallet Ctns,Pallet Qty,"Pallet Weight ""kg""",Shipping Date,Shipping PO Number,Shipping Quantity,In Cost/Unit,Shipping Amount,Received,Shipping Date Received,Vendor,Sales PO Number,Sales Quantity,Sales Date,Sales Amount
97014,EOS.IO,3213,2882,6880,4576,4182,68,9391,4651,-45.7136,realize,8371,2509,766,6153,9441,7778,early,5423,5771,7493,make,4851,8761,5998,-2446037.26,False,property,sing,2708,4923,executive,-82402638236.0
83931,Monero,4246,6925,5449,4452,4347,7073,2637,7215,-380115846153.4,common,6579,3057,5424,1527,8760,3988,against,4101,3677,4713,social,7720,2814,7537,-802396.22069,False,fill,director,7196,962,eye,-146761.91673
80451,Vertcoin,5095,5752,2800,2789,6930,7638,8719,317,-97948660872327.0,fear,4774,233,5509,8150,4156,4194,simple,5617,6713,4986,common,2050,251,3241,1875428413187.7,True,production,see,2841,6017,they,-93570380486515.2
47556,Titcoin,5737,5852,4865,9173,7267,8052,6898,7212,-9952811.0,rise,2148,2740,8646,3737,5499,4945,even,3930,9766,9378,especially,1777,3262,6519,-8765358.1429151,True,station,thing,9900,1867,with,915375433.4467
85670,Tether,4534,1081,6278,392,3225,3634,6320,3656,62.677525373356,economic,2223,5491,1071,1338,9534,224,even,8943,4471,5768,expert,8928,4627,7691,-674.249914,True,position,help,3917,9255,admit,-20870.970504
85238,Monero,2289,3418,6816,5265,7192,325,5006,1651,2.14475303692,model,8371,2388,779,4597,1733,5568,most,2798,5544,2389,well,8256,162,6329,126.6,False,include,mean,6177,8940,control,5906.8
07698,Peercoin,1999,5672,1709,8723,2790,3674,3126,8971,-673.5,thought,6284,6213,3437,4398,4732,6671,general,2661,1826,6269,compare,5639,5931,3064,36257.46052469,True,production,take,7592,8020,improve,-162.4142228
89901,SwiftCoin,1815,1419,7835,868,6578,5335,3205,6063,-12.0,this,5927,797,8734,4312,7185,6115,financial,7891,4770,6777,popular,7091,49,2505,-593578347.641762,False,walk,nor,7399,7734,everyone,-769.78629
44803,XEM,2906,7283,5913,6003,490,4676,9389,1710,1206903.78,participant,3131,9968,1998,5937,9581,6568,follow,637,7261,2743,race,2996,3243,6817,178476.72,False,many,public,6518,2218,remember,-45.4616825764982
84853,Namecoin,5059,272,8036,9398,3465,1511,4297,4894,-2657949531.7,nothing,3640,3246,3944,4139,6326,1833,tell,9125,8592,2112,consider,2683,5774,1782,-19171.226784,False,choice,long,4282,9907,court,-965830313173807.0
99736,AMP,4853,3872,3437,6659,2379,3724,4058,3323,37657712953.4,question,8606,6180,9701,7026,8440,8283,surface,4246,5145,3460,marriage,7067,4939,2749,-9.36672073302,False,among,Mr,9344,9035,in,-41253873555.83
10018,Ethereum,5471,9295,4535,6689,356,7593,8319,8277,41080957.234,town,9830,3148,6029,9335,5053,1151,wear,1659,1440,9648,maintain,2912,4937,1431,9031369.4599916,False,story,official,1830,815,report,787.297887675
64494,Dogecoin,1874,5783,6459,5237,9219,307,532,1245,-50.531427630354,more,1220,9441,4242,1305,7387,9411,direction,6298,2699,6662,ago,7526,9714,6267,-1119.97985722,True,focus,deep,3897,2367,Mr,-81534624.96
80795,Auroracoin,787,2908,149,4074,1004,6928,8468,5865,-1564.3313321,far,1260,9394,5913,8463,3731,1926,all,3883,5619,3685,help,8300,7418,1813,-6432.5845,False,question,who,9497,2476,election,-42422.673707092
55054,Titcoin,1840,2695,2677,4247,2593,905,7356,7037,5060.52320232,record,77,9473,5656,8656,1631,2890,job,7276,3165,6234,another,5507,5490,5334,-402176581833.5,True,anything,sister,6978,4200,enjoy,-351883929061.0
75869,Auroracoin,179,8523,779,4659,5078,8511,1015,2770,9859.1004,project,3859,8688,1573,3302,2238,6852,second,9732,2368,2630,prevent,1485,3458,7741,3855145011956.0,False,begin,science,316,6666,travel,-337169662223510.0
87448,Peercoin,4256,259,1114,1874,3980,3307,2647,3282,529.7,start,594,1772,7286,6472,747,4015,never,5733,7938,177,name,539,8087,4754,-558608678624.695,False,mention,easy,6484,3455,risk,91723945787.45
22571,PotCoin,1212,4237,6811,4087,5924,7367,8408,2928,4423845.0,car,1804,5785,6721,8307,7273,7583,night,7772,7446,4116,determine,204,2479,8330,9824288065.78,True,early,pretty,2675,5376,bill,87932988398588.3
03752,Burstcoin,8468,4454,1682,500,5318,9963,3917,7337,33045.972851511,imagine,8579,2820,7704,5872,1360,1740,subject,3564,292,1401,yes,2555,2719,2709,330878658782.0,True,certain,eat,2213,3250,establish,-42311156823339.0
55009,Peercoin,7412,870,1283,5556,180,4684,4294,947,611.3208317,impact,5493,8340,7701,3432,3726,8884,theory,3474,1064,2498,large,6346,6722,5942,2696.3,False,ready,road,7558,649,career,-8929050.48075
48600,Dogecoin,783,1035,1071,7317,5802,242,4812,8286,40.6246376,station,8553,220,6345,1727,2128,7115,feeling,1103,7014,5408,why,5323,1792,3878,651812214221.4,True,prepare,professor,789,1890,position,-3997389.273
53525,IOTA,7381,662,7452,7688,2339,3303,8163,3439,603835.0,think,8227,7072,4334,7872,6024,1580,subject,3663,8658,6712,reveal,1813,61,9516,127304623382.58,True,wish,thing,4086,3706,clear,8102186.97
28959,Dash,4792,8572,1222,2998,151,8293,2927,1835,5.69435532,technology,2116,5709,3279,733,6838,2661,themselves,8359,3331,6686,three,4966,7057,6843,814381745084.7,True,visit,look,2054,4452,many,-1568.74878
28873,Coinye,9706,9948,2479,8441,3371,6310,6624,9003,-9235.84776,successful,7256,8351,1135,2970,8149,1322,pass,135,4468,2705,at,857,6943,4629,54767888.699,False,someone,toward,3203,7928,area,-550420603.905716
21727,IOTA,1212,6945,6885,8607,5766,4377,9419,8773,-20061956875096.0,wall,6235,1927,2483,9860,8451,1002,green,331,3414,9467,create,9847,9836,2654,9105577882642.0,False,commercial,better,479,8272,real,-694415860692.1
28583,Dogecoin,6304,5425,403,9563,4699,9315,139,8793,-190535458664202.0,maintain,7763,7606,8155,9730,585,4706,part,8197,6757,5569,someone,7077,6560,2134,44161411858.775,False,have,feeling,3139,5900,process,-193.8267
64641,Ethereum Classic,4883,6614,9137,8765,5749,9153,9589,5202,-2.938594,himself,2258,9686,2762,6589,5420,2095,all,5293,2227,8051,call,5980,3639,2595,88817.0,True,people,line,4238,2880,born,-69121.895
50671,Vertcoin,3242,8554,6131,4671,5576,5909,162,7150,1890460707443.5,ability,6626,7714,6743,2128,6344,6725,area,9323,7438,1541,decision,9931,2981,8311,1357294418742.86,True,positive,good,9617,3524,none,12658803167.3346
43815,Lisk,8973,904,6833,5543,4617,8,301,6871,-75092073.1760494,ready,7540,7935,8717,9501,8510,1532,focus,3520,4911,7768,hair,118,3811,6608,-4276.6703724736,True,evidence,war,3422,2484,indicate,556186155.1031
77954,PotCoin,8854,338,6070,4787,3497,9394,2010,1245,1417679.8298,often,6143,3398,3542,1452,5614,9451,myself,723,6913,7541,lead,4343,4219,5807,8896804469940.85,True,wonder,data,4900,2993,throw,-6001.5094661
83471,MazaCoin,9019,2065,5584,9420,7155,9077,9498,6565,69257.81,region,4817,382,8080,1837,5243,8996,young,4644,4830,7845,parent,2418,1358,7294,555400600067952.0,True,focus,Congress,3756,8283,simply,-798742.16
22168,BlackCoin,5400,3858,1303,1441,8067,1760,1492,6400,-46.83474492,space,5573,1576,3875,3195,7214,5764,alone,9097,854,9388,future,6278,1159,4373,986145491593122.0,False,show,ready,5167,8108,high,98345603792.0
32585,PotCoin,2564,5840,9530,8768,200,8919,3582,5796,74774480228438.0,pick,7196,330,6526,8573,897,9986,color,1767,8454,6643,analysis,1531,2511,4390,-7720028216419.91,True,language,PM,5708,258,upon,-278892635611597.0
43212,Litecoin,8011,1635,5347,2687,1281,9532,7417,7220,-50365999.0,similar,2676,7094,6256,7820,9476,9407,event,5566,3781,8254,vote,4673,2132,4008,91700351.5,False,send,physical,6275,9400,off,4.1604868
47989,Bytecoin,5242,7058,9045,4055,4972,3109,807,3263,-752395989.3,return,3076,5782,3726,1556,7233,8667,win,7654,4890,1927,possible,7937,777,544,-75933.74388,False,set,offer,5467,3204,indeed,341441140.5
86657,BlackCoin,6120,2650,2425,6460,7457,5472,6345,1297,63.67552336749,box,7414,1007,1861,1995,6450,7664,course,8879,8820,5422,author,7222,6921,7092,44052659765038.0,False,management,meet,1323,3057,major,-857.9753
81603,Ethereum Classic,9185,7064,9740,4331,4976,2071,9997,1304,342748078169.5,alone,977,9981,5736,9043,7512,1534,past,7840,432,1481,increase,9416,9005,5560,-2944768293075.19,True,hit,rather,1093,1507,worry,2715643.43
75051,Primecoin,3734,9074,3203,4664,9437,6914,8284,3333,670.38,well,6731,926,4235,3063,5465,485,provide,1781,3519,8294,same,1785,1858,8673,-604774057112.9,False,happen,raise,1010,2352,month,593603555276.6
05640,Vertcoin,3453,146,5680,4477,2775,4617,5691,3796,-8977845.28,evening,1728,2429,9462,699,1902,6644,floor,5874,5310,381,easy,6134,3868,8480,-398238081.0,True,sister,sure,8676,6150,out,-6991118.4
44355,Gridcoin,84,474,7412,9405,5098,6870,6323,1109,548286020.74997,almost,5188,6721,3828,6900,8883,7928,agree,5508,6397,7042,family,9791,9879,9103,3300.11418,False,candidate,culture,6645,4471,official,9602.4281271
31730,TRON,5936,8781,2783,5686,1741,4000,8353,5510,207.29709665,ok,5090,3081,3555,1572,293,5079,position,2270,7058,404,this,2489,8323,2023,-9145393875085.6,False,course,story,3231,450,send,-65.88031889005
74624,Ethereum,2202,7354,2588,2968,6428,5461,5232,6773,-3.639,eight,4103,7731,928,4656,9106,419,drug,599,1820,2174,social,2018,6903,7972,-54683478175395.0,True,security,thus,7812,5275,yes,9856202.662191
43365,Ripple,7380,9645,9963,2523,9430,661,5786,3886,858027.97,her,3080,3334,4592,2862,9447,6926,front,2555,1256,6627,affect,6116,8329,995,-13568.16408,True,series,should,1176,7343,do,3376066828.28
32369,IOTA,3556,3314,2292,481,6296,2858,8270,4463,6644855.4,current,5898,5568,2007,3743,8512,2027,field,1227,3020,8852,difference,7857,7999,1137,947930571.3258,False,parent,these,5839,4936,unit,9.0
70362,Peercoin,7402,8190,294,8340,2328,719,2883,8259,-53586448858796.8,event,3873,9339,6437,1139,9678,5027,stage,2709,7184,3100,paper,80,3045,3253,-93127.90565493,True,PM,organization,8070,9344,everybody,8582739388.9807
17765,EOS.IO,6418,6213,9431,4947,2990,2419,2778,2812,-77291868.7866599,Republican,5499,2199,5606,8558,3821,7057,different,6340,1907,1857,since,979,5415,1139,-6.750961,True,individual,program,5112,6375,our,3377899409382.27
86733,Titcoin,3097,9043,2850,711,991,5197,8299,3805,-53614410227.0,wall,8414,2624,7246,2746,3759,8019,buy,3124,4336,8721,director,2643,4283,9101,-8307550370552.2,True,mention,set,3740,1927,later,304306127479.4
39211,Auroracoin,6421,8636,3200,8334,4636,8630,5759,4698,-1463065.95308,four,9686,3187,5990,2913,6791,7520,population,7121,2390,9799,buy,9863,9356,2463,-68107.28285644,True,two,room,7206,6133,thus,-755.85581084816
11588,Zclassic,8043,4841,4475,4010,6205,7276,9282,4912,-594271963596.0,thought,6222,2374,5894,580,9827,7941,smile,6630,9836,5493,begin,2465,5660,8358,-1972.78478579762,False,behind,region,1427,7680,language,592.25357225
08171,Dash,3860,3216,9848,8582,4565,3904,8243,3409,-6316081.2914481,suddenly,8067,8046,8825,7240,7298,269,dinner,3542,9431,5485,partner,8944,8347,4727,7402430532.1,True,attention,set,9556,6975,major,-55915.9416046676
13601,XEM,4839,6128,5701,9502,3798,1878,8155,1864,16.169248321428,beyond,9038,7914,3298,415,7703,7620,also,2470,9641,8035,cultural,8278,4297,4278,346820468.996044,True,discussion,public,7724,9776,control,-714440510.1
65125,EOS.IO,5376,5321,7045,8564,2554,1027,5442,4645,365219864074622.0,reflect,4698,9346,3233,4915,2564,6918,return,2523,1203,2711,else,1673,4394,8024,5712016008499.87,False,information,treat,123,6385,article,-7879.6643943997
07799,Ethereum,6518,9973,2984,6678,6116,7574,3798,5918,248946348.0,group,1584,9208,9115,273,3575,8219,collection,4800,9812,5976,most,480,5612,497,631787057007604.0,False,race,condition,6970,285,once,-83.90605179667
85800,Zcash,1280,8354,7432,5759,1207,479,8109,6985,94.8034252808344,almost,7814,2252,7868,7060,5167,106,realize,7603,7750,9860,whatever,6969,151,1969,-12391000.0,False,same,suggest,5359,2081,state,-78942539308661.0
40380,Ubiq,3984,163,4831,9527,4700,4128,3088,7609,8541986555.573,and,9271,519,5522,5327,7780,7152,build,2487,4033,8960,anyone,1818,8918,9507,-15637435876623.0,True,more,weight,9073,5105,area,-822963606.1268
58066,Waves Platform,4311,5638,9295,8770,8721,4691,1036,3696,880.821373631,activity,959,2639,4072,4109,8360,4204,bill,208,8420,6840,instead,1877,2741,1707,4.2978,False,onto,similar,6784,3467,between,-1841848926.5
76296,NEO,8091,5737,8121,9130,3217,1588,7403,4921,54066817.0,tend,4239,8481,1170,1984,345,747,director,5848,2636,8474,how,521,1196,4626,6285934573.9589,False,decision,size,9614,288,bar,-847.75508190338
84329,Primecoin,6697,7487,5277,4126,8419,6847,865,3964,5.827,western,2136,5281,8799,1717,7868,3533,woman,2336,5158,8091,though,3571,8717,3326,-31091195.152,False,bring,control,7980,4578,while,-6.488
89535,Lisk,3544,4957,2789,8458,8373,5917,2661,7352,72024649566.7,attack,5632,7167,5922,1657,8813,5852,production,6800,8287,8823,management,3712,7257,457,-5.57181,False,evidence,front,7720,4678,edge,-49568722.9436888
15888,Nxt,3484,7925,7090,819,7268,6644,2418,9844,297640124341.128,involve,1198,6678,8403,344,5729,1043,doctor,4123,5374,5108,family,7102,2002,2962,-614649611.7,False,remain,simple,2455,5441,usually,-8646.2
05081,XEM,8706,7481,6297,8456,4316,2892,5170,4519,-649987.9904,fact,6351,1033,2110,7018,834,5957,case,1066,8558,2625,story,1582,9383,1276,1306.40775084,False,form,ahead,9802,6792,ball,-81394.6965729
62804,AMP,4963,7951,4367,9680,5475,1179,7901,9437,-3402603617.17,street,5846,5956,8050,4911,2569,2414,outside,7654,3094,8684,shoulder,8501,4535,3900,-119316.1234,True,different,fear,7946,8225,miss,-9519047089.0
94045,Namecoin,3107,1789,124,6911,5158,1220,9688,5311,94333.6448,trade,562,2683,3215,3348,5610,6567,imagine,3034,1499,3376,sell,1760,8594,5892,-2314975564769.0,True,product,reveal,4739,4290,amount,973548917568950.0
59438,PotCoin,4479,8541,6615,6958,3997,6351,4563,8836,169803476828.6,church,4882,7062,3679,642,2039,7049,rather,5320,6756,1447,minute,2757,7293,6154,-81061742.45159,True,today,foreign,4725,4868,professor,-6.0
54573,SwiftCoin,9722,655,3452,6852,5654,3419,6661,2099,21493.173969233,American,5872,4183,7243,3551,430,8758,pick,8414,2070,7259,at,9215,7342,9065,9915301756816.4,False,sit,actually,4313,3305,never,437776561615471.0
46014,Ethereum,8781,574,7012,9238,5454,6335,5582,4060,-3113660803193.0,indeed,2281,2064,2169,4312,1123,7130,ask,7409,1528,9263,west,3889,8820,5524,1.4848611,False,foot,all,1461,7338,pass,15998159176767.0
95528,SwiftCoin,3190,9012,8202,2090,3930,6164,6794,8602,-6693523330600.63,month,9194,7978,6755,8438,1773,4755,out,9844,4574,2803,director,6621,1335,8451,11696.9,True,sound,instead,3898,1432,all,8736896044874.7
08086,Ethereum,1088,9031,8129,374,2221,9449,9263,6948,-803.436289,site,1278,5644,3604,5130,294,5560,of,4312,7547,9631,travel,4942,8270,3187,7495316240759.0,True,newspaper,teacher,3924,7488,might,406238275154.6
36297,Cardano,7237,8677,5038,1202,7940,7491,2750,5462,6197635003326.2,child,123,6007,8929,3913,5794,6604,huge,4841,1076,837,with,4668,588,8473,39938.0,False,food,us,7692,1529,magazine,155195.992354592
72000,Feathercoin,2394,2972,6774,6283,8431,297,3816,9076,-54663.0,water,9807,2862,9922,5928,2278,1136,school,2963,8950,9748,however,5933,6407,4388,-98.956,False,five,issue,4377,8340,seek,482018.876382
15170,BlackCoin,6637,4273,9693,2360,317,872,548,94,4741476483.662,second,997,7128,4896,7860,7817,4034,sit,3439,9108,7053,attention,4668,7816,6468,-321176725.13,False,thought,economic,1749,6311,foot,-20658066.4811
68757,Feathercoin,619,1372,7256,5233,8851,4993,4924,6356,827816.0,draw,3369,1973,2144,2929,7050,1262,discover,128,1164,5516,group,4890,3683,1055,-9948583485.12,False,serious,attack,1077,6906,suffer,37266.8133
34625,Waves Platform,4157,1270,907,1558,7256,6445,7256,7627,-8325.21237555603,executive,7244,8383,7909,6698,9659,4976,international,2734,1715,1062,way,9298,4175,118,-9.9808635127,False,arm,need,8768,2871,vote,-6128367865220.37
05235,Primecoin,513,3796,7443,7868,7637,6868,843,3611,309776529.851378,yard,5552,6565,8233,1952,3357,9428,deep,668,3166,8549,road,9269,4178,2634,-7.919381855259,False,because,hope,3730,50,hand,-2668802.632936
48260,Bitcoin Cash,9985,6848,3039,6278,3185,7764,9419,2792,-296294.35036144,speak,6886,1290,7845,8140,9777,6598,major,6792,6957,9746,resource,2976,3170,1812,-496969206918465.0,True,three,why,8352,5092,smile,9209594182.165
27001,Primecoin,5909,7246,20,4399,6286,7199,2320,4462,431.4,what,5931,1729,2822,8695,6830,5021,data,2729,615,8254,fund,3486,8429,4375,-25563.25572,True,explain,add,6757,7312,go,5183.46227158822
20569,Waves Platform,9251,1828,471,17,7114,5458,6411,7168,-449324286.0,wall,4500,7409,6109,5284,6688,2121,fall,1730,3092,2460,front,1230,4102,292,-483150934.0,True,building,when,370,8063,business,44105947845788.3
30631,MazaCoin,5585,5035,6982,526,2009,6791,245,2525,-891849140566810.0,product,5585,875,9446,1870,1410,9405,range,7576,5056,1691,base,6034,4143,9161,-38.940569,True,local,possible,5909,6856,by,-72502741.35
63719,Zcash,2636,3657,9108,7460,3051,8719,4976,4984,-138846047470203.0,whatever,7010,585,4296,4211,2904,8900,skill,8785,2277,8188,building,5880,2433,9490,-624642.0,True,expect,specific,4175,4682,approach,9.4
79507,XEM,8401,5744,8652,3229,6069,6847,8150,7419,847476683595436.0,whom,2730,7698,1923,3102,1119,3397,hair,6003,6151,3899,conference,2169,4809,2628,1366066741506.0,False,energy,every,984,7610,real,6613536523.617
59680,DigitalNote,4212,8602,2561,1067,5001,8029,2784,5320,1000083722.14,suffer,626,8736,4459,6484,983,862,indeed,4178,2685,7472,article,4504,723,4871,794727155280666.0,True,somebody,here,7057,1775,never,765352795720443.0
21882,Peercoin,7302,6177,2880,5165,6547,3321,2754,449,-951375356.0,there,9108,3629,5141,645,3091,5850,hour,3684,5548,4824,mean,9464,7110,8169,-752.26528822,True,civil,here,7044,5495,week,3581.618500338
16558,Dogecoin,3373,6579,4924,9223,6468,753,2154,6721,-1428632109.2,lose,9088,1950,6139,1417,9580,6322,movie,4256,7316,5013,stay,3732,3509,4546,38669.6115064,True,against,color,6615,8214,section,838549050791.1
86462,Tether,3528,791,3997,2106,4008,5010,4288,7029,79784938610.147,community,759,8313,1371,5307,8854,1190,fast,4156,5282,4626,hard,8264,4249,1806,-3992038.34501,True,partner,certainly,3443,1475,pick,12.2458222980963
50752,EOS.IO,809,1524,8406,3569,8440,6812,3963,7461,9402141688.99031,offer,1773,8352,5210,5358,7778,9081,if,4680,7848,6075,company,839,7054,1489,185320580.3,True,better,tend,8704,8696,under,-561670188980420.0
05888,Ripple,7278,6132,4743,8707,3740,678,6581,1782,-99947979356.6,past,8996,5264,6162,8999,2634,3533,practice,124,5973,3251,social,3376,8392,1197,99142485.762,False,billion,happen,2604,4903,safe,-97.27164
92139,Ubiq,1683,9800,63,4486,892,7260,260,9593,730078431517.2,water,858,8674,2096,159,212,5396,first,909,4830,1110,its,8129,1048,1986,-3860245.8425049,False,a,again,6434,2660,ago,922435939279.74
41844,Emercoin,3383,424,5116,5292,7473,2998,6702,5846,-77727.5599542739,standard,3929,9413,2688,9647,5000,4704,operation,7651,6946,3137,structure,5954,3974,9954,84703.782,False,street,stand,8675,6345,wonder,201320140.536743
74609,Ripple,2297,861,4983,9965,7621,6423,4250,7315,4225.116190813,discover,3690,3042,6653,9310,9635,2232,training,6168,5221,9377,memory,4335,8133,7523,-23874118941.3,True,last,arm,8432,7428,simple,-915.0
75144,PotCoin,9326,9644,2720,3136,6543,8273,2778,7524,-1013293309.0,spend,8658,4923,7342,3063,1736,4694,actually,2443,589,4107,public,1777,1716,834,-73041102069.12,True,world,fine,5061,9909,worry,79060392431.8
56464,Bytecoin,5364,3817,3852,4066,4036,8165,981,6506,668734598561518.0,everybody,6132,4232,8299,7372,6378,8082,camera,708,5526,178,song,8444,1702,1469,48557370602750.0,True,us,every,8960,9507,test,573163.49096
95958,Emercoin,7521,7483,6034,9360,5874,4850,4384,7170,-2803593114.0,food,839,1841,7978,1872,5837,3586,type,6162,4505,4994,modern,4906,6577,533,-1175616499.0,True,international,pass,2972,9015,size,76887197883.1
11754,Zcash,1619,5495,8417,9913,6517,684,3005,4148,92876518275486.0,instead,1687,9826,2904,2046,6047,9493,water,7470,1361,7347,but,8528,948,5719,871199692275.86,True,others,wonder,1410,6611,boy,-82548824246044.0
23801,Tether,3452,2527,4577,93,6370,5971,9720,4959,2277.27566,more,4647,39,5050,4721,9097,4500,sport,9044,5021,2277,garden,213,1764,2717,4.35858953481,False,stay,range,9864,1571,pretty,-493869072567686.0
74863,Ethereum Classic,6687,8314,401,5640,1002,8396,3290,9920,-27186485.74,nice,5023,4418,8287,5905,1936,316,choice,7350,182,7104,option,4828,2055,8292,-17.1507006,False,describe,million,159,3414,growth,132.754995199
